term,importance
basket ampoloader,0.10844894448876508
driver,0.10843444697475728
passing,0.10838986858080726
small,0.10828258884623246
board,0.10813391374678141
approx,0.10744518476431293
center,0.10744168672397594
helper,0.10701123740077803
step,0.107003142269082
assistant,0.10679945467968668
cone,0.10670332940724536
fifth,0.10615373697451695
generating injury,0.10581841037600441
wearing,0.10556591794481403
using hoe,0.10548026987716971
radius,0.10532978589768309
th,0.10529295617970649
tried,0.10528316078827882
approximately circumstances,0.10522668134284215
neck,0.10516557249208143
instants,0.10499254954107502
order open,0.10491551400351058
fingers left,0.10444906025456642
carried,0.10383768605912161
gloves,0.10380943426122428
rail,0.10360885818767215
cable,0.10360138434649677
cables,0.10328588839287751
manipulating,0.10316824675987182
fell,0.10313823332442902
cleaning,0.10302723259027642
lifts,0.10294095909513093
team,0.10267592850935965
hospital paracatu,0.1026285366667011
anode,0.1026198388824335
came,0.10242944681859385
person,0.1024113630217894
lifts end,0.10212770848946395
order,0.10211954170097899
blow,0.10197376192940807
pump bp,0.10196205925310711
support mesh,0.1016098110485955
exchange,0.10156655661074696
care,0.10148660337568124
accident,0.10131009049151271
discharge,0.10128701390659736
slides,0.10128183444678578
mr danon,0.10123918521930116
danon,0.10123918521930116
pushing,0.10120085075392464
passing box,0.10093590884272015
hitting,0.10083872359993702
finger right,0.10051474520594912
box,0.10047218936108068
partially,0.10041103886838802
manually,0.10013723297536163
engine control,0.09974771288863321
accident employee,0.09922053695715351
able,0.09896893787324268
worker cleaning,0.09874951742541999
gable,0.09824711694721862
wanting climb,0.0982061628886714
wanting,0.0982061628886714
unstable,0.0982061628886714
mr hidalgo,0.0982061628886714
unstable reel,0.0982061628886714
balance,0.09818687768188299
pvc,0.0980152515750188
barel,0.0980114314818458
air valve,0.0980038260701098
gate,0.09790884164392968
employee performing,0.09779276651684726
injury,0.09768400869169516
installation,0.09749549522036417
loader,0.09748199892150297
protection,0.09742398142611998
proceeds remove,0.09741198179307868
floor,0.09721160141454162
metal structure,0.09718914646976647
frame,0.09712989584282293
notice,0.09710629841675492
ingot,0.09704198091115916
watermelon injured,0.09697691697142749
nd chirodactilo,0.09697691697142749
watermelon,0.09697691697142749
base rod,0.09694268519223458
rod holder,0.09694268519223458
assembling,0.0969395393316575
head,0.09692061075567546
change,0.09666632138904233
brigade,0.09640259052561018
electrical,0.09636048609093566
water,0.09611050954318537
split set,0.09590069327665399
solution heated,0.09583166539919855
did,0.09570742619758421
immediately,0.09569585527185645
operator mixkret,0.09562372963200835
launch,0.09562372963200835
drill rod,0.09550936602041077
burn,0.09530605052709551
power,0.09484316432175775
forehead,0.09466009987855989
flash,0.09447434011256836
safety,0.09446112880346626
hopper,0.09445792886891483
surface,0.09433275186746702
ahead,0.09386639023908569
employee referred,0.09382618465883855
mounted,0.09358205103256804
pain,0.09345679486884664
projected,0.09343395199585501
pipes,0.09331453266207745
roof,0.09309933531974861
broken,0.09306126745552055
opened,0.09298794583954852
lamp,0.09278782097249497
gts,0.09276965211340508
level gts,0.09276965211340508
decides,0.09256420081125824
removing,0.09253253250181466
right,0.09238032292248156
stretcher,0.09202005480625758
metal plates,0.09202005480625758
south,0.09200672771683374
field trip,0.09187020725724038
times,0.09172580852943057
ob,0.09162112720083918
set,0.09159925996717475
ampoloader,0.0915444347812943
attended,0.09151935188107704
doing,0.09145884066883497
steel plate,0.09115367851649699
task,0.091151368541076
jhonatan,0.09110848060934668
pressed wall,0.09105130880055094
operator finger,0.09105130880055094
moving steel,0.09105130880055094
wall cabinet,0.09105130880055094
people,0.09103466085846613
placed,0.09100921322433575
injured person,0.09094834325697947
causing,0.090869184023004
nilton,0.09078816505327598
manual,0.09075870042778571
unicon,0.0906420171953656
force,0.09060148094710944
